id,trade_px,trade_volume,b1,b2,b3,b4,b5,a1,a2,a3,a4,a5,bq1,bq2,bq3,bq4,bq5,aq1,aq2,aq3,aq4,aq5,order_date_time,trades_date_time,update_type
41,1191.3,1.98,1190.7,1189.15,1188.84,1188.7,1188.38,1192.06,1192.3,1192.36,1192.62,1192.93,1.99,1.2,1.2,3.0381,1.2,1.038,1.8,1.038,1.03803,1.03802,2017-04-07D00:04:12.348908000,2017-04-07D00:04:11.332871000,1
42,1191.3,1.98,1190.7,1189.15,1188.84,1188.77,1188.7,1190.89,1192.3,1192.62,1192.87,1192.93,1.99,1.2,1.2,1.03729,3.0381,4.76,1.8,1.03803,1.03729,1.03802,2017-04-07D00:04:16.599808000,2017-04-07D00:04:11.332871000,1
43,1191.3,1.98,1190.7,1189.15,1188.84,1188.77,1188.7,1190.89,1192.3,1192.62,1192.87,1192.93,1.99,1.2,1.2,1.03729,3.0381,4.16,1.8,1.03803,1.03729,1.03802,2017-04-07D00:04:23.369223000,2017-04-07D00:04:11.332871000,1
44,1191.3,1.98,1190.7,1189.15,1188.84,1188.77,1188.7,1190.89,1192.3,1192.87,1192.93,1193.16,1.99,1.2,1.2,1.03729,3.0381,4.16,1.8,1.03729,1.03802,1.03729,2017-04-07D00:04:29.804843000,2017-04-07D00:04:11.332871000,1
45,1191.3,1.98,1190.7,1189.15,1188.84,1188.77,1188.7,1190.89,1192.3,1192.87,1193.16,1193.49,1.99,1.2,1.2,1.03729,3.0381,3.16,1.8,1.03729,1.03729,1.03779,2017-04-07D00:04:35.063290000,2017-04-07D00:04:11.332871000,1
46,1190.89,2,1190.7,1189.15,1188.84,1188.77,1188.7,1190.89,1192.3,1192.87,1193.16,1193.49,1.99,1.2,1.2,1.03729,3.0381,3.16,1.8,1.03729,1.03729,1.03779,2017-04-07D00:04:35.063290000,2017-04-07D00:04:35.806335000,2
48,1190.89,2,1190.7,1188.84,1188.77,1188.7,1188.47,1190.89,1192.3,1192.87,1193.16,1193.49,1.99,1.2,1.03729,3.0381,1.03729,3.16,1.8,1.03729,1.03729,1.03779,2017-04-07D00:04:45.745230000,2017-04-07D00:04:35.806335000,1
49,1190.89,2,1190.7,1189.65,1189.33,1188.77,1188.7,1190.89,1192.3,1192.87,1193.16,1193.49,1.99,1.2,1.2,1.03729,3.0381,3.16,1.8,1.03729,1.03729,1.03779,2017-04-07D00:04:47.642615000,2017-04-07D00:04:35.806335000,1
50,1190.89,2,1190.7,1189.65,1189.33,1188.77,1188.7,1190.89,1192.3,1192.87,1193.16,1193.5,1.99,1.2,1.2,1.03729,3.0381,3.16,1.8,1.03729,1.03729,1.98,2017-04-07D00:04:52.539305000,2017-04-07D00:04:35.806335000,1
52,1190.89,2,1190.7,1189.65,1189.33,1188.8,1188.77,1190.89,1192.3,1192.87,1193.16,1193.5,1.99,1.2,1.2,1.2,1.03729,3.16,1.8,1.03729,1.03729,1.98,2017-04-07D00:05:02.419936000,2017-04-07D00:04:35.806335000,1
53,1190.89,2,1190.7,1189.15,1188.99,1188.8,1188.77,1190.89,1192.3,1192.87,1193.16,1193.5,1.99,1.2,1.2,1.2,1.03729,3.16,1.8,1.03729,1.03729,1.98,2017-04-07D00:05:27.686264000,2017-04-07D00:04:35.806335000,1
54,1190.89,2,1190.7,1189.15,1188.99,1188.77,1188.7,1190.89,1192.3,1192.87,1193.16,1193.5,1.99,1.2,1.2,1.03729,1.8381,3.16,1.8,1.03729,1.03729,1.98,2017-04-07D00:05:32.411837000,2017-04-07D00:04:35.806335000,1
55,1190.7,2,1190.7,1189.15,1188.99,1188.77,1188.7,1190.89,1192.3,1192.87,1193.16,1193.5,1.99,1.2,1.2,1.03729,1.8381,3.16,1.8,1.03729,1.03729,1.98,2017-04-07D00:05:32.411837000,2017-04-07D00:05:41.836592000,2
56,1190.7,2,1190.7,1189.15,1188.99,1188.77,1188.7,1190.89,1191.3,1192.3,1192.87,1193.16,0.99,1.2,1.2,1.03729,1.8381,3.16,1,1.8,1.03729,1.03729,2017-04-07D00:05:43.117963000,2017-04-07D00:05:41.836592000,1
57,1190.7,2,1190.7,1189.15,1188.99,1188.77,1188.7,1190.89,1191.3,1192.3,1192.87,1193.16,0.99,1.2,1.2,1.03729,1.8381,4.38,1,1.8,1.03729,1.03729,2017-04-07D00:06:32.660227000,2017-04-07D00:05:41.836592000,1
58,1190.7,2,1190.7,1189.15,1188.99,1188.77,1188.7,1191.3,1192.3,1192.87,1193.16,1193.5,0.99,1.2,1.2,1.03729,1.8381,1,1.8,1.03729,1.03729,1.98,2017-04-07D00:06:35.001990000,2017-04-07D00:05:41.836592000,1
59,1190.7,2,1190.7,1189.15,1188.99,1188.77,1188.7,1191.09,1191.3,1192.3,1192.87,1193.16,0.99,1.2,1.2,1.03729,1.8381,4.7,1,1.8,1.03729,1.03729,2017-04-07D00:06:45.463942000,2017-04-07D00:05:41.836592000,1
60,1190.7,2,1190.7,1189.87,1189.57,1189.15,1188.99,1191.09,1191.3,1192.3,1193.5,1193.57,0.99,1.03632,1.03632,1.2,1.2,4.7,1,1.8,1.98,1.03719,2017-04-07D00:06:50.947567000,2017-04-07D00:05:41.836592000,1
61,1190.7,2,1190.7,1189.87,1189.57,1189.15,1188.99,1191.09,1191.3,1192.3,1193.5,1193.88,0.99,1.03632,1.03632,1.2,1.2,4.7,1,1.8,1.98,1.03719,2017-04-07D00:07:05.785091000,2017-04-07D00:05:41.836592000,1
62,1190.7,2,1190.7,1189.87,1189.57,1189.15,1188.99,1191.09,1191.3,1192.3,1193.5,1193.93,0.99,1.03632,1.03632,1.2,1.2,4.7,1,1.8,1.98,1.03688,2017-04-07D00:07:11.780722000,2017-04-07D00:05:41.836592000,1
63,1190.7,2,1190.7,1189.87,1189.57,1189.15,1188.99,1191.3,1191.89,1192.3,1193.5,1193.93,0.99,1.03632,1.03632,1.2,1.2,1,4.95,1.8,1.98,1.03688,2017-04-07D00:07:25.629876000,2017-04-07D00:05:41.836592000,1
64,1190.7,2,1190.7,1189.87,1189.57,1189.15,1188.99,1191.3,1192.3,1193.5,1193.93,1193.97,0.99,1.03632,1.03632,1.2,1.2,1,1.8,1.98,1.03688,1.03632,2017-04-07D00:07:30.254230000,2017-04-07D00:05:41.836592000,1
65,1190.7,2,1190.7,1189.87,1189.57,1189.15,1188.99,1191.3,1192.3,1192.89,1193.5,1193.93,0.99,1.03632,1.03632,1.2,1.2,1,1.8,4.35,1.98,1.03688,2017-04-07D00:07:39.160938000,2017-04-07D00:05:41.836592000,1
66,1190.7,2,1190.7,1189.87,1189.57,1189.15,1188.99,1191.3,1192.3,1193.5,1193.93,1193.97,0.99,1.03632,1.03632,1.2,1.2,1,1.8,1.98,1.03688,1.03632,2017-04-07D00:07:46.472899000,2017-04-07D00:05:41.836592000,1
